public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,57,63d9897b70301a7c02e8db0d865ea09de5637fe40a633097b3351706ff9cedad,100000,BlkAdder,0,0,0
47.239.100.174,scalability,58,54411c572452a85a2d96b9424f710895ce8ab37a758bd79bf090432fc2435bfd,100000,BlkGenerator,724,0,138112.5810893492
47.239.100.174,scalability,58,54411c572452a85a2d96b9424f710895ce8ab37a758bd79bf090432fc2435bfd,100000,BlkAdder,0,0,0
47.239.100.174,scalability,59,151894b91e3c7a6b476eedb4b7d09aa76abceee01409ce7dd15d47218d30f519,100000,BlkGenerator,702,0,142282.11983284698
47.239.100.174,scalability,59,151894b91e3c7a6b476eedb4b7d09aa76abceee01409ce7dd15d47218d30f519,100000,BlkAdder,0,0,0
47.239.100.174,scalability,60,507b3df7fcaad49fd1b10c1a46d620c576e1e275fe4e7b7188d9e26a564a14aa,100000,BlkGenerator,716,0,139509.90171527426
47.239.100.174,scalability,60,507b3df7fcaad49fd1b10c1a46d620c576e1e275fe4e7b7188d9e26a564a14aa,100000,BlkAdder,0,0,0
47.239.100.174,scalability,61,878c05cd2daf6f65cd1732fd5f244b4710d434cc01abecf910d70c8d0081cf8e,100000,BlkGenerator,715,0,139851.9247820408
47.239.100.174,scalability,61,878c05cd2daf6f65cd1732fd5f244b4710d434cc01abecf910d70c8d0081cf8e,100000,BlkAdder,0,0,0
47.239.100.174,scalability,62,eb3133514789ca0923b595fc2100bf4df71c31e09c2c37cf061159000d6008e6,100000,BlkGenerator,705,0,141835.7230288735
47.239.100.174,scalability,62,eb3133514789ca0923b595fc2100bf4df71c31e09c2c37cf061159000d6008e6,100000,BlkAdder,0,0,0
47.239.100.174,scalability,63,27587429649aa538cfaf729854b7c81ebac3c6f3e341c857d2b1c3b4990aa123,100000,BlkGenerator,702,0,142272.60569431877
47.239.100.174,scalability,63,27587429649aa538cfaf729854b7c81ebac3c6f3e341c857d2b1c3b4990aa123,100000,BlkAdder,0,0,0
47.239.100.174,scalability,64,0328025feb265f971fe451a5323ab56d408813bb87f7d661b177b41db4fc8773,100000,BlkGenerator,716,0,139662.46375759065
47.239.100.174,scalability,64,0328025feb265f971fe451a5323ab56d408813bb87f7d661b177b41db4fc8773,100000,BlkAdder,0,0,0
47.239.100.174,scalability,65,dee41765f6874f1ce8ca47423e34bba902f3ac936e601bab5620678fd44f0705,100000,BlkGenerator,711,0,140523.84478860293
47.239.100.174,scalability,65,dee41765f6874f1ce8ca47423e34bba902f3ac936e601bab5620678fd44f0705,100000,BlkAdder,0,0,0
